Market Name,Market URL,Description of Market,Products in Market
AI-Augmented Software-Testing Tools,https://www.gartner.com/reviews/market/ai-augmented-software-testing-tools,"AI-augmented, software-testing tools provide capabilities for advanced, self-optimizing and adaptive automated testing through the use of AI technologies, such as machine learning (ML), self-healing heuristics or computer vision. They assist humans in their testing efforts and reduce the need for human intervention in the following areas:
Test case and test data generation
Test suite optimization and coverage detection
Test efficacy and robustness
Test analysis and defect prediction
Test effort estimation and decision making
AI-augmented testing tools streamline, accelerate and improve the test workflow, as models can be retrained based on the data collected from the activities they perform — thereby enhancing human productivity.","['Katalon', 'LambdaTest', 'Tricentis NeoLoad', 'Tricentis Tosca', 'OpenText UFT One', 'Automate', 'Tricentis TestProject (Legacy)', 'Keysight Eggplant Test', 'Parasoft SOAtest', 'SmartBear ReadyAPI', 'Visual Studio Test Professional', 'Tricentis qTest', 'UiPath Business Automation Platform', 'Parasoft C/C++test', 'Worksoft Certify', 'SmartBear TestComplete', 'Telerik Test Studio', 'ACCELQ Unified', 'Digital.ai Continuous Testing', 'TestDrive', 'Rational Functional Tester', 'Squish', 'Tricentis Testim', 'App Automate', 'AscentialTest', 'Parasoft Jtest', 'Applitools', 'OpenText UFT Digital Lab', 'Opkey', 'Perfecto Platform', 'Copado Robotic Testing', 'Functionize', 'LEAPWORK Test Automation', 'Codeless Automated Testing', 'QMetry\xa0Automation Studio', 'Rational Integration Tester (Legacy)', 'Sauce Labs Continuous Testing Cloud', 'OpenText UFT Developer', 'ZAPTEST', 'Appvance IQ', 'Kobiton', 'Rational Test Workbench', 'Qualitia', 'Mabl', 'Avo Assure', 'HeadSpin Platform', 'AssureQA', 'Subject7', 'TestWheel', 'Virtual Cloud', 'Rapise', 'axe DevTools', 'Beagle Security', 'CI Fuzz', 'Int4 Suite', 'QuerySurge', 'Eyes', 'Flexib+', 'Virtuoso', 'testRigor', 'Test Management', 'Applitools Ultrafast Grid', 'Autify', 'Conformiq Creator', 'Heyhack Scan', 'Jamo Automator (Legacy)', 'QF-Test', 'Testsigma', 'Tricentis Test Management for Jira', 'Zebrunner', 'axe Auditor', 'bqurious']"
AI-Enabled Translation Services,https://www.gartner.com/reviews/market/ai-enabled-translation-services,"Gartner defines AI-enabled translation services as those able to use AI methods to improve the speed, quality and cost of the language translation workflows. The AI-enabled service with the most profound effect is neural machine translation (NMT). However, other services are now being deployed to augment and automate additional tasks in the enterprise translation process. Examples include:
Translation management system workflow classifications that use machine learning (ML) methods to train the workflow classification based on feedback about the results.
Adaptive post-editing machine translation (PEMT) and computer-assisted translation (CAT) editing tools that incorporate any edits back into the translation model.
Translation risk assessments that use composite AI (that is, multiple different methods) to provide real-time predictions of the level of risk in a given translation.
Enterprise translation hubs that allow enterprises, via a single interface, to select the optimal resource — for instance, selecting between different NMT solutions based on cost or quality.
NMT data cleaning and preparation services, which allow for improved NMT model training and customization.
These solutions may be used to augment the current translation processes or to develop new workflows.","['CleverSo', 'GlobalLink AI', 'Language Cloud Translation Management', 'Language I/O', 'Lilt', 'Neural Machine Translation Platform', 'Phrase', 'SYSTRAN Pure Neural Server (Legacy)', 'Smartling', 'TranslationOS', 'Unbabel', 'YeeKit']"
AIOps Platforms,https://www.gartner.com/reviews/market/aiops-platforms,"AIOps platforms analyze telemetry and events, and identify meaningful patterns that provide insights to support proactive responses. AIOps platforms have five characteristics:
Cross-domain data ingestion and analytics
Topology assembly from implicit and explicit sources of asset relationship and dependency
Correlation between related or redundant events associated with an incident
Pattern recognition to detect incidents, their leading indicators or probable root cause
Association of probable remediation","['PagerDuty', 'BigPanda', 'Splunk IT Service Intelligence (ITSI)', 'ignio', 'ScienceLogic SL1', 'CloudFabrix Data-centric AIOps Platform', 'Moogsoft AIOps', 'Better Stack', 'Interlink Software AIOps Platform', 'Open 360 Platform', 'BMC Helix Operations Management with AIOps', 'Elastic Observability', 'ServiceNow IT Operations Management', 'vuSmartMaps', 'DRYiCE IntelliOps', 'DX Operational Intelligence', 'IBM AIOps Insights', 'IBM Cloud Pak for Watson AIOps', 'OpsRamp', 'StackState', 'Sumo Logic SaaS Log Analytics Platform', 'Zenoss Cloud', 'Zero Incident Framework (ZIF)']"
API Management,https://www.gartner.com/reviews/market/api-management,"Gartner defines the application programming interface (API) management market as the market for software that supports API life cycle stages such as planning and design, implementation and testing, deployment and operation, and versioning and retirement.
Organizations use APIs to modernize their architectures; efficiently integrate systems, services and partners; and create and monetize data and services. API management software enables organizations to discover, design, build, manage and secure APIs, regardless of their size, region or industry. It helps them improve composability, security and business resilience, and accelerate their growth.","['Postman API Platform', 'Amazon API Gateway', 'MuleSoft Anypoint Platform', 'Microsoft Azure API Management', 'Axway Amplify API Management', 'WSO2 API Manager', 'Apigee API Management Platform', 'IBM API Connect', 'Kong Gateway', 'SAP Integration Suite', 'Tyk', 'Boomi', 'TIBCO Cloud API Management', 'SmartBear SwaggerHub', 'Kong Konnect', 'SmartBear ReadyAPI', 'Gravitee', 'Layer7 API Gateway', 'webMethods API Gateway', 'Red Hat 3scale API Management', 'API Management Module for NGINX Controller', 'Stoplight', 'Sensedia API Management', 'Akana API Management Platform', 'Oracle API Manager', 'IBM Cloud Pak for Integration', 'Layer7 API Management', 'ignite', 'Torry Harris API Manager', 'Gloo Edge', 'webMethods Developer Portal', 'Layer7 Developer Portal', 'Oracle API Platform Cloud Service', 'webMethods CentraSite', 'Layer7 Mobile API Gateway', 'SEEBURGER Business Integration Suite', 'Red Hat APIMAN', 'Choreo', 'Nevatech Sentinet', 'Layer7 Live API Creator', 'Zuplo', 'SmartBear AlertSite', 'Ambassador Edge Stack', 'Fiorano API Management', 'Kong Immunity (Legacy)', 'Red Hat Integration', 'Semantix Data Platform - SDP', 'SmartBear PactFlow', 'digiRunner', 'eQube Integration Suite', 'webMethods Microgateway']"
API Protection Tools,https://www.gartner.com/reviews/market/api-protection-tools,"API protection tools are used by organizations to prevent malicious attacks or misuse of application program interfaces (APIs). APIs are commonly used for access to sensitive software functions and data, thus becoming a primary target for attackers. API Protection Tools enable breach detection and prevention by identifying anomalous API usage.","['Imperva API Security', 'Apigee API Management Platform', 'Akamai API Security', 'Cequence Unified API Protection Platform', 'Salt Security API Protection Platform', 'Noname Security', 'Wallarm API Security Platform', 'Traceable API Security Platform', 'Synopsys API Scanner (Legacy)', '42Crunch API Security Platform', 'APISec', 'Data Theorem API Secure', 'Reblaze', 'Akto', 'AppSentinels Full life-cycle API Security Platform', 'TeejLab API Security Manager', 'Beagle Security', 'Cloudflare API Gateway']"
Access Management,https://www.gartner.com/reviews/market/access-management,"Gartner defines access management (AM) as platforms that include an identity provider (IdP) and establish, manage and enforce runtime access controls to at least cloud, modern standards-based web and classic web applications.
AM’s purpose is to enable single sign-on (SSO) access for people (workforce, consumer and other users) and machines into protected applications in a streamlined and consistent way that enhances user experience. AM is also responsible for providing security controls to protect the user session in runtime, enforcing authentication (with multifactor authentication [MFA]) and authorization using adaptive access. Lastly, AM can provide identity context for other cybersecurity tools to enable identity-first security.","['Okta Single Sign-On', 'Microsoft Entra ID', 'OneLogin', 'PingOne Cloud Platform', 'SafeNet Trusted Access', 'ForgeRock Identity Platform', 'Oracle Access Management', 'Okta Customer Identity Cloud', 'CyberArk Workforce Identity', 'SecurID', 'AWS Identity and Access Management (IAM)', 'Arculix', 'WSO2 Identity Server', 'IBM Security Verify', 'Okta Adaptive Multi-Factor Authentication', 'API Access Management', 'NetIQ Access Management', 'Oracle Cloud Infrastructure Identity and Access Management', 'miniOrange Workforce Identity and Access Management', 'Symantec VIP Access Manager (Legacy)', 'Okta Universal Directory', 'Trusfort Identity and Access Management', 'Symantec SiteMinder', 'Microsoft Active Directory Federation Services', 'Paraview Software Identity Management', 'Transmit Security Platform', 'CyberArk Customer Identity', 'FortiAuthenticator', 'Sign&go Global SSO', 'Evidian Web Access Manager', 'Access Matrix Universal Access Management (UAM)', 'The OptimalCloud', 'Akamai Identity Cloud', 'OpenText Identity and Access Management (IAM) Platform', 'NetIQ Advanced Authentication', 'RapidIdentity Identity and Access Management', 'Optimal Federation and Identity Services-OFIS', 'UserLock', 'Access: One', 'Amazon Cognito', 'FortiToken Cloud', 'Entrust Identity as a Service', 'Curity Identity Server', 'OneWelcome Cloud Identity', 'emAS', 'Cerby', 'Keycloak', 'Visual Guard', 'MonoSign', 'Ilantus Compact Identity', 'Quest Cloud Access Manager (Legacy)', 'Microsoft Entra External ID', 'Securify Access', 'Workforce Identity Cloud', 'Google Cloud IAM', 'Banyan Security Platform', 'SecureAuth IDP', 'Alibaba Cloud Identity as a Service (IDaaS)', 'Bamboocloud IAM platform', 'CIAM.next', 'Censornet Identity as a Service', 'ClassLink', 'Cymmetri', 'Frontegg', 'FusionAuth', 'GateKeeper Enterprise', 'Gluu Server', 'IDHub', 'Identity Analytics and Compliance Manager (IACM)', 'IdentityServer', 'Ilex Customer IAM', 'Imprivata OneSign & Confirm ID', 'LoginRadius', 'QuickLaunch Single Sign On', 'SAP CIAM', 'Secure Access Manager', 'Securify Behavioral', 'Soffid', 'Strivacity Platform']"
Account-Based Marketing Platforms,https://www.gartner.com/reviews/market/account-based-marketing-platforms,"Gartner defines account-based marketing (ABM) platforms as software that enables B2B marketing and sales teams to run ABM programs at scale, including account selection, planning, engagement and reporting. Platforms enable the creation of target account lists by unifying first- and third-party data. In addition, platforms may engage audiences by activating channels such as display advertising, social advertising, email and sales engagement, using a mix of native capabilities and integrations.
ABM platforms help B2B marketers and sellers to create a set of target accounts and engage buying team members with relevant outreach and content to help buyers explore and evaluate their solutions. To support this effort, ABM platforms offer capabilities to engage audiences by activating channels such as:
Display advertising and retargeting
Social advertising
Email
Personalized webpages
Sales engagement","['Revenue AI', 'Demandbase One', 'MarketingOS', 'Terminus Platform', 'RollWorks Account-Based Platform', 'ML Platform', 'MRP Prelytix', 'Triblio Account-Based Orchestration Platform', 'Jabmo ABM Platform', 'N.Rich', 'True Influence Marketing Cloud (Legacy)', 'Belkins', 'Priority Engine', 'B2B.IQ', 'Anteriad Marketing Cloud', 'Integrate Demand Acceleration Platform', 'D&B Rev.Up ABX', 'GO Platform', 'ProTrail']"
Account-Planning Tools,https://www.gartner.com/reviews/market/account-planning-tools,"APTs are designed to help B2B sales organizations improve sales outcomes such as revenue growth and customer retention throughout the customer life cycle. To accomplish these goals, APTs either build on native sales CRM functionalities or operate as an integrator, receiving and sharing CRM data to help sales organizations in two unique and complementary ways:
- Improving seller precision and effectiveness by synthesizing information to provide a consistent, enhanced analysis of large, complex, multifaceted accounts.
- Improving seller scale and efficiency by aggregating data from multiple accounts, enabling sellers to identify and prioritize expansion, upsell and cross-sell opportunities.","['Salesforce Sales Cloud', 'Squivr Playbook', 'Org Chart', 'Account Planner', 'Squivr Salesforce Org Charts', 'Prolifiq', 'Korn Ferry Sell', 'Account Planning Tool', 'Altify', 'Gainsight Customer Success', 'Kapta Enterprise', 'Next Quarter', 'Opportunity Planner', 'Sales Execution Platform', 'Valkre']"
Accounting Practice Management Software (APMS),https://www.gartner.com/reviews/market/accounting-practice-management-software-apms,"Accounting practice management software (APMS) is a type of software designed specifically for certified public accountants, accounting firms and other financial professionals to manage their day-to-day front and back office business operations. Its primary purpose is to help accounting professionals streamline their workflow, increase productivity, manage client relationships, and ensure that all tasks are completed in a timely and efficient manner. It also helps in organizing and retrieving essential documents and also seamlessly integrates with other CRM tools and accounting softwares. APMS can help accounting firms save money by reducing the need for manual labor and thereby improves overall efficiency and employee satisfaction.","['Xero', 'Oracle NetSuite ERP', 'Sage Intacct', 'Payroll Relief', 'IRIS Practice Engine', 'CCH Axcess', 'BQE Software', 'Canopy Practice Management Suite', 'Karbon', 'Onvio Firm Management']"
Accounts Payable Invoice Automation Solutions,https://www.gartner.com/reviews/market/accounts-payable-invoice-automation-solutions,"Accounts payable invoice automation (APIA) tools automate the capture, validation and processing of invoices. These solutions attempt to automatically match invoices to purchase orders (POs) and contracts, or automatically code those invoices that would not have a PO. Payment management, ranging from OK to pay to complete invoice payment, is also included. The expanded scope of APIA includes advanced capabilities, such as automated multiway matching, fraud detection and cash management.","['Celonis Execution Management System', 'Basware AP Automation', 'OpenText Vendor Invoice Management for SAP Solutions', 'xSuite Invoice Cube', 'Concur Invoice', 'SoftCo AP Automation', 'Airbase', 'SutiAP', 'Bill.com', 'Tipalti Accounts Payable Automation', 'Yooz', 'InvoiceWorks', 'AvidInvoice', 'Circulus', 'Cor360 Payables', 'Procurify', 'Serina', 'AP Automation', 'Square 9', 'Stampli', 'Aavenir Invoiceflow', 'Account Payable Automation', 'Alevate', 'Applexus InSITE', 'Autonomous AP', 'DataServ', 'DocuWare', 'Medius Accounts Payable Automation', 'MineralTree TotalAP', 'Nipendo', 'OpenEnvoy', 'OpusCapita Invoice Process Automation', 'Paymode-X', 'Quadient AP', 'SEMINE', 'Tradeshift Pay', 'Tungsten AP Agility']"
Active Metadata Management,https://www.gartner.com/reviews/market/active-metadata-management,"Active metadata management is a set of capabilities that enables continuous access and processing of metadata that support ongoing analysis over a different spectrum of maturity, use cases and vendor solutions. Active metadata outputs range from design recommendations based upon execution results and reports of runtime steps through, and indicators of, business outcomes achieved. The resulting recommendations from those analytics are issued as design inputs to humans or system-level instructions that are expected to have a response.","['Alation Data Intelligence Platform', 'Microsoft Azure Data Catalog (Legacy)', 'Collibra Data Intelligence Platform', 'Informatica Cloud Data Governance and Catalog', 'Oracle Enterprise Metadata Management', 'SAP PowerDesigner', 'ALEX', 'erwin Data Intelligence', 'Dataedo', 'DataGalaxy', 'Semaphore', 'SAP Information Steward', 'IBM Watson Knowledge Catalog', 'Solidatus', 'Metadata Manager Business Glossary (Legacy)', 'Informatica Axon Data Governance', 'Precisely Data360', 'InfoSphere Information Governance Catalog', 'data.world', 'Rocket Data Intelligence', 'Atlan', 'Adaptive Metadata Manager', 'DATUM Information Value Management (Legacy)', 'Talend for Metadata Management', 'PoolParty Semantic Suite', 'Anzo', 'BigID', 'Data Ecosystem Management Suite', 'Manta Platform', 'Data Dynamics StorageX', 'Informatica Data Privacy Management', 'Pentaho Data Catalog', 'Syniti Knowledge Platform', 'Accurity Software Suite', 'NodeGraph Platform', 'CastorDoc', 'Orion Enterprise Information Intelligence Graph', 'OneTrust Data Governance', 'Stratio Generative AI Data Fabric', 'Zeenea', 'Data Harmony', 'Octopai', 'Select Star', 'Ataccama ONE', 'TopBraid Enterprise Data Governance', 'Monte Carlo', 'metaphactory', 'Anjana Data', 'Claravine', 'DQLabs Platform', 'DvSum Data Insights platform', 'Microsoft Purview', 'Oracle Cloud Infrastructure Data Catalog', 'Oracle Enterprise Data Management Cloud']"
Ad Tech Platforms,https://www.gartner.com/reviews/market/ad-tech-platforms,"Gartner defines the ad tech market as technology for managing digital advertising across channels and devices, including display, video, streaming TV and audio, in-app (including games), social, and search. It provides functions for campaign planning, media buying, advertising analysis, optimization and automation. Ad tech can be used by buy-side and sell-side agents; this evaluation focuses exclusively on buy-side.","['Meta Business Suite', 'Mediaocean', 'The Trade Desk', 'Google Campaign Manager 360', 'Basis', 'Adform', 'Quantcast Platform', 'Adobe Advertising', 'Amazon Ads', 'Amobee', 'Criteo Dynamic Retargeting', 'Skai Omnichannel Marketing Platform', 'AdRoll Growth Marketing Platform', 'MediaMath', 'Yahoo Advertising', 'InMobi Exchange', 'Display & Video 360', 'Advertiser Edge (Legacy)', 'Beeswax BaaS Platform', 'IgnitionOne Digital Marketing Suite (Legacy)', 'Innovid', 'Simpli.fi Demand-Side Platform', 'AppNexus Programmable Platform (Legacy)', 'QuanticMind', 'Criteo Retail Media', 'AdPushup Ad Revenue Optimization Platform', 'Similarweb Platform', 'Flashtalking', 'Nielsen Marketing Cloud', 'Zeta Marketing Platform', 'AdPlayer.Pro', 'PlatformOne (Legacy)', 'Sizmek MDX (Legacy)', 'Amazon DSP', 'Xandr Invest', 'StackAdapt', 'InMobi DSP', 'Letsignit Email signatures manager', 'Demandbase One', 'Paragone', 'Veritone Attribute', 'CTSuite for Advertisers', 'Marin Ad Management Platform', 'Viant Advertising Cloud (Legacy)', 'Bionic', 'LiveRamp', 'Oracle Advertising and Customer Experience (CX)', 'Criteo Commerce Media Platform', 'Metadata', 'Microsoft Advertising', 'TouchPoint (Legacy)', 'Albert AI Marketing', 'Amazon Ad Server', 'B2B.IQ', 'BidMind', 'China Trading Desk', 'Conversant (Legacy)', 'Epsilon PeopleCloud Digital Media Solutions', 'Kwanzoo', 'MNTN Performance TV', 'MOJO Platform', 'Programmatic Demand Side Platform', 'PubMatic Media Buyer Console', 'Rendmo Personalised Videos', 'Salesforce Advertising Studio', 'The Global Media Platform', 'Valassis', 'VideoAmp', 'XMP']"
Adaptive Project Management and Reporting,https://www.gartner.com/reviews/market/adaptive-project-management-and-reporting,"The adaptive project management and reporting (APMR) market is defined by technologies that can support multiple delivery models to optimize project management practices and complex resource management needs across an organization. These tools promote continuous collaboration and unification of diverse and distributed teams. To support accelerating rates of change and continuous value delivery, these tools adapt to changing customer needs and governance approaches across multiple organizational designs and operating models. They provide multiple execution approaches that are grounded in value-based decision making and the time-to-value perceptions of their customers.","['monday.com', 'Asana', 'Planisware Orchestra', 'ClickUp', 'Smartsheet', 'Wrike', 'Tempus Resource', 'KeyedIn Enterprise', 'Planview AdaptiveWork', 'Planview PPM Pro', 'Workfront', 'Planforge', 'Sciforma', 'Easy Redmine', 'ProjectManager', 'Proggio', 'OnePlan', 'Planview ProjectPlace', 'Podio', 'Uppwise APM', 'AchieveIt', 'Clovine', 'WorkOtter']"
